kartez,family,genus.old,genus.new,species.old,species.new,taxon.old,taxon.new,life_cycle,life_form,native,path,g_f,apgf,a_p,avg.height_A,avg.height_B,avg.height_C,avg.height_F,avg.height_G,avg.height_P,max.height_A,max.height_B,max.height_C,max.height_F,max.height_G,max.height_P,p95.height_A,p95.height_B,p95.height_C,p95.height_F,p95.height_G,p95.height_P,ldmc,sla,lma,area,d15N,d13C,pN,pC,cn,sdmc,rdmc,sdens,rdens,fr.diam,fr.dmc,fr.srl,fr.dens,seed_mass,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
ACNE,Euphorbiaceae,Acalypha,Acalypha,neomexicana,neomexicana,Acalypha_neomexicana,Acalypha_neomexicana,a,H,y,C3,f,a_f,0,8.5367,NA,NA,NA,NA,8.5367,27,NA,NA,NA,NA,27,18,NA,NA,NA,NA,18,0.1999,77.2447,0.0131,0.8107,-2.3316,-28.7276,1.7122,45.4754,26.7299,0.2428,0.2247,0.0013,0.001,0.0275,0.0485,0.0345,63.6543,0.3895,-0.07148170480346938,2.851631151953128,NA,NA,NA,NA,NA,NA,NA,NA,-0.07148170480346938,2.851631151953128
ALIN,Nyctaginaceae,Allionia,Allionia,incarnata,incarnata,Allionia_incarnata,Allionia_incarnata,ap,H,y,C4,f,p_f,1,5.0746,7,NA,5.0746,5.0455,NA,17,7,NA,17,17,NA,15,7,NA,15,15,NA,0.136,27.0355,0.0373,2.1615,3.3374,-13.9711,2.0315,33.6202,16.5871,0.2905,0.3369,5e-4,4e-4,0.0346,0.0818,0.0601,92.5171,NA,-0.1067780625581226,3.3093332339125654,-0.07619047619047618,3.872983346207417,NA,NA,-0.1067780625581226,3.3093332339125654,-0.11697392468067142,3.1214498631476153,NA,NA
AMPA,Amaranthaceae,Amaranthus,Amaranthus,palmeri,palmeri,Amaranthus_palmeri,Amaranthus_palmeri,a,H,y,C4,f,a_f,0,10.2215,11.7273,4,11.0833,NA,10.146,41,41,4,41,NA,36,27.85,29.3,4,28,NA,27.4,0.1535,51.7316,0.0203,0.5298,5.6719,-14.561,2.872,41.1507,15.131,0.2075,0.2424,3e-4,3e-4,0.0427,0.082,0.0902,81.9845,0.2408,-0.07837628342464582,3.530013594291613,-0.0761904761904762,3.872983346207417,NA,NA,-0.0761904761904762,3.872983346207417,NA,NA,-0.07878612228105263,3.4657067658073997
APRAH,Asteraceae,Aphanostephus,Aphanostephus,ramosissimus,ramosissimus,Aphanostephus_ramosissimus,Aphanostephus_ramosissimus,ap,H,y,C3,f,p_f,1,7.35,5,1,7.35,7.3989,NA,23,5,1,23,23,NA,16,5,1,16,16.05,NA,0.1526,51.7354,0.0198,0.4908,2.5582,-31.4646,2.3663,47.618,21.8141,0.2717,0.2947,6e-4,5e-4,0.0274,0.0595,0.0429,118.4242,0.2649,-0.08805617873131617,3.453363643453102,-0.07619047619047627,3.872983346207417,-0.07619047619047618,3.872983346207417,-0.08805617873131617,3.453363643453102,-0.09201141291159616,3.3134904092016635,NA,NA
ARAD,Poaceae,Aristida,Aristida,adscensionis,adscensionis,Aristida_adscensionis,Aristida_adscensionis,a,G,y,C4,g,a_g,0,12.1554,12.5344,8.4286,12.2847,11.3333,7.5,43,43,20,43,18,12,26.65,27.3,19.4,26.75,17.5,11.55,0.3526,41.1159,0.0245,0.6482,3.3523,-15.5143,1.569,43.8384,28.2499,0.2032,0.3771,0.002,0.0016,0.0435,0.1695,0.1625,159.0435,0.7031,-0.05127441171818306,3.599234412716427,-0.04296905689408536,3.50798476821943,-0.07619047619047617,3.872983346207417,-0.0490093149479746,3.574348146035428,NA,NA,-0.07619047619047617,3.872983346207417
ARFEF,Brassicaceae,Arabis,Boechera,fendleri,fendleri,Arabis_fendleri,Boechera_fendleri,p,ss/H,y,C3,f,p_f,1,3.12,NA,NA,NA,NA,3.12,60,NA,NA,NA,NA,60,10.35,NA,NA,NA,NA,10.35,0.2348,25.7488,0.041,0.7774,-3.0131,-29.4323,2.7829,43.9646,15.8735,0.3103,0.3361,6e-4,5e-4,0.0287,0.0727,0.0265,67.4958,0.0625,-0.03759617893880045,3.2424079394182885,NA,NA,NA,NA,NA,NA,NA,NA,-0.03759617893880045,3.2424079394182885
ARIST,Poaceae,Aristida,Aristida,purpurea,purpurea,Aristida_purpurea,Aristida_purpurea,ap,G,y,C4,g,p_g,1,13.8327,14.3953,12.5169,14.1121,16.1754,11.7419,32,31,32,32,32,19,25.15,26,20.9,26,28.8,18,0.4013,14.7318,0.0681,0.7405,1.224,-14.202,1.1882,44.931,37.9402,0.4431,0.3245,8e-4,0.0012,NA,NA,NA,NA,2.0734,0.12876600816005532,2.6788222499120407,0.1645719809902626,2.6613975598952417,0.15209057634395645,2.156823251088738,0.1691227041836189,2.5387127725089953,0.2611755964428133,2.5802182502935525,0.06318637712176446,2.906500150691989
ASTRA,Fabaceae,Astragalus,Astragalus,nuttallianus,nuttallianus,Astragalus_nuttallianus,Astragalus_nuttallianus,p,H,y,C3,f,p_f,1,3.1754499999999997,3.75,NA,4.2917,3.95835,NA,8.5,4.5,NA,8.5,7.5,NA,6.25,4.425,NA,7.8,7.075,NA,0.2386,26.35295,0.03955,0.36685,0.2522,-27.85855,4.927849999999999,45.82595,9.45375,0.21739999999999998,0.24905,4.5e-4,5e-4,0.05635,0.15785,0.3329,197.01585,2.27295,-0.05641680586590512,3.08853205691183,-0.0788805502505845,3.4903721733602686,-0.04475287049815801,3.383517031251193,-0.02688527583620627,3.348594521921944,0.0355390012546428,3.188546476843033,-0.08594833589560398,2.8284695919017167
BAABA,Asteraceae,Bahia,Bahia,absinthifolia,absinthifolia,Bahia_absinthifolia,Bahia_absinthifolia,p,H,y,C3,f,p_f,1,13.6854,NA,13.6854,13.6854,NA,NA,56,NA,56,56,NA,NA,35,NA,35,35,NA,NA,0.1701,20.7721,0.0493,1.0142,1.1197,-28.981,2.328,43.5781,19.016,0.3732,0.3816,6e-4,5e-4,0.0666,0.0603,0.1648,64.8407,0.404,0.09191000764307486,2.7465320243996385,NA,NA,0.09996600034348982,2.652661080915657,0.09996600034348982,2.652661080915657,NA,NA,-0.00476190476190475,3.872983346207417
BADI,Asteraceae,Bahia,Amauriopsis,dissecta,dissecta,Bahia_dissecta,Amauriopsis_dissecta,abp,H,y,C3,f,p_f,1,5.657,NA,NA,NA,NA,5.657,84,NA,NA,NA,NA,84,43,NA,NA,NA,NA,43,0.1465,25.1331,0.0401,3.3509,-0.7006,-29.747,1.3834,45.9501,34.3488,0.3187,0.3337,5e-4,4e-4,0.0527,0.0601,0.0655,44.6244,0.2431,0.0745189824805673,2.322616144700639,NA,NA,NA,NA,NA,NA,NA,NA,0.0745189824805673,2.322616144700639
