season,site,kartez,allometry,metric,value,n_zero_mean,biomass_mean,n_quads
F,B,ALIN,BIM,cv,3.872983346207417,14,0.02666666666666667,1
F,B,ALMA4,BIM,cv,2.5905251356610073,12.5,0.032979999999999995,2
F,B,AMPA,BIM,cv,3.872983346207417,14,0.08161666666666666,3
F,B,APRAH,BIM,cv,3.872983346207417,14,0.02748333333333333,1
F,B,ARAD,BIM,cv,3.50798476821943,13.38888888888889,0.06777555555555555,18
F,B,ARIST,BIM,cv,2.632390934663771,11.055555555555555,3.3655820370370373,18
F,B,ASTRA,BIM,cv,3.4903721733602686,12.944444444444445,0.07295018518518519,18
F,B,BAWR,BIM,cv,3.8729833462074175,14,0.572,1
F,B,BELY,BIM,cv,3.872983346207417,14,0.00109933333333333,3
F,B,BOBA2,BIM,cv,2.964248348271971,11.083333333333334,0.147706,12
F,B,BOER4,BIM,cv,1.2007083477708562,3.3181818181818183,15.164972181818182,22
F,B,BOGR2,BIM,cv,0.817641563959367,0.2,22.57473866666667,30
F,B,BREUC2,BIM,cv,3.3113944716271533,12.5,0.5015708333333333,4
F,B,CHAL11,BIM,cv,1.8884206390672311,6.75,1.8454206666666666,8
F,B,CHCO,BIM,cv,3.872983346207417,14,0.00549666666666666,1
F,B,CHCO2,BIM,cv,2.8992763235437757,12.75,0.01570833333333333,4
F,B,CHER2,BIM,cv,3.872983346207417,14,0.0892,1
F,B,CHIN2,BIM,cv,3.872983346207417,14,0.034731874999999995,8
F,B,CHLA10,BIM,cv,3.872983346207417,14,0.03761333333333334,1
F,B,CHRE4,BIM,cv,3.218770315751267,13,0.02805833333333333,6
F,B,CHSE7,BIM,cv,2.972208080610237,11.863636363636363,0.10404290909090909,22
F,B,CHSES,BIM,cv,2.5063419852832887,8.933333333333334,0.5114668,30
F,B,CINE,BIM,cv,1.5341512333518947,7,0.42893,1
F,B,COEQ,BIM,cv,3.6607693468419855,13.428571428571429,0.28268571428571426,7
F,B,CRCR3,BIM,cv,3.6261853398776815,13.8,0.003291199999999994,15
F,B,CYIMI,BIM,cv,2.98138179247229,13,3.033066666666667,1
F,B,DAPU7,BIM,cv,2.6897949723632357,9.61111111111111,0.3575925925925926,18
F,B,DEPI,BIM,cv,3.872983346207417,14,0.00109933333333333,4
F,B,ECFEF3,BIM,cv,2.004075884630817,9.666666666666666,0.3411544444444445,3
F,B,ECIN2,BIM,cv,3.2680410745997723,12.75,0.14928833333333333,4
F,B,ELEL5,BIM,cv,3.8729833462074175,14,0.0438,1
F,B,ENDE,BIM,cv,2.976771692843843,11.333333333333334,0.25727933333333336,12
F,B,EPTO,BIM,cv,3.872983346207417,14,0.9534666666666668,1
F,B,ERAB2,BIM,cv,3.872983346207417,14,0.03795833333333333,1
F,B,ERCI,BIM,cv,3.2911344531388282,13.428571428571429,0.011772619047619044,7
F,B,ERDI4,BIM,cv,3.872983346207417,14,0.02748333333333333,1
F,B,ESVIV,BIM,cv,3.872983346207416,14,0.011975,1
F,B,EUEX4,BIM,cv,2.9692211859287556,11.4,0.07719206666666667,30
F,B,EVNU,BIM,cv,2.7417933927555023,10.5,0.17039666666666667,6
F,B,FESTU,BIM,cv,3.872983346207417,14,0.208,1
F,B,GACO5,BIM,cv,2.0311712481569764,5.833333333333333,4.2465414444444445,6
F,B,GASUN,BIM,cv,3.0355122465539024,12.166666666666666,0.06290961111111111,6
F,B,GLBI2,BIM,cv,3.1834712029231564,12.277777777777779,0.15995299999999998,18
F,B,GRCL,BIM,cv,1.1659731353586953,6,6.074033333333333,1
F,B,GUSA2,BIM,cv,3.872983346207417,14,0.2892,1
F,B,HODR,BIM,cv,2.819974880213456,12,0.1197,2
F,B,HYFIC,BIM,cv,3.623071584099678,13.083333333333334,0.22974444444444445,12
F,B,HYVE,BIM,cv,1.9830757913410046,11.5,0.21986666666666668,2
F,B,IPCO2,BIM,cv,3.397783094752842,13,0.05410327777777778,12
F,B,KAPA,BIM,cv,3.872983346207417,14,0.1549350476190476,7
F,B,LIIN2,BIM,cv,3.872983346207417,14,0.010993333333333325,2
F,B,LIPU4,BIM,cv,3.718036924522133,13.555555555555555,0.015183333333333328,9
F,B,MAHEH2,BIM,cv,3.872983346207417,14,0.06386666666666667,1
F,B,MAPIP,BIM,cv,2.970485895620774,12.75,0.17897533333333332,4
F,B,MELE2,BIM,cv,3.4544600192477626,12.76923076923077,0.2590964102564102,13
F,B,MIAL4,BIM,cv,3.334367416574132,12.9,0.3631098,10
F,B,MILI3,BIM,cv,2.091231040698525,11.166666666666666,0.44142277777777783,6
F,B,MOCE,BIM,cv,3.4801448868782385,13.5,0.04456291666666667,2
F,B,MUAR2,BIM,cv,1.778928419190525,6.636363636363637,2.3788750909090908,22
F,B,MUPO2,BIM,cv,3.872983346207417,14,0.065,2
F,B,MUSQ3,BIM,cv,3.2847925447476047,13,0.019907037037037036,9
F,B,OECA10,BIM,cv,3.687885476857641,13.625,0.0069395416666666624,16
F,B,PAHI5,BIM,cv,3.8729833462074175,14,0.00531666666666666,1
F,B,PEAN,BIM,cv,2.9204296536121648,10.833333333333334,0.08063333333333333,6
F,B,PEFE,BIM,cv,1.4089921123386713,3,0.5161333333333333,1
F,B,PHCR,BIM,cv,3.872983346207417,14,3.0366666666666666e-4,11
F,B,PLJA,BIM,cv,2.1232765865831937,7,8.376179666666667,12
F,B,PLPA2,BIM,cv,3.4680940345253566,12.9,0.002391155555555553,30
F,B,POOL,BIM,cv,2.9887888671951304,10.714285714285714,0.18605133333333332,14
F,B,PRPA2,BIM,cv,3.872983346207417,14,0.00759166666666666,1
F,B,PSTAT,BIM,cv,3.8729833462074175,14,0.01648999999999999,1
F,B,SAAB,BIM,cv,3.872983346207417,14,0.004305599999999998,5
F,B,SATR12,BIM,cv,2.8919157736558563,11.2,11.401918355555555,30
F,B,SCBR2,BIM,cv,1.6031875608923911,5.5,2.7106583333333334,4
F,B,SEBA3,BIM,cv,3.1639268986699918,12.75,0.018413833333333327,8
F,B,SEDI3,BIM,cv,2.9953252895100553,12.5,0.4599,2
F,B,SEFLF,BIM,cv,3.707588693361787,13.666666666666666,0.8869464444444445,12
F,B,SOEL,BIM,cv,2.7756416922880716,10.666666666666666,0.41887444444444444,12
F,B,SPHA,BIM,cv,2.9489625638011554,11.210526315789474,1.0259605263157896,19
F,B,SPORO,BIM,cv,2.3510809495169256,9.4,1.9522613466666665,25
F,B,SPPO6,BIM,cv,3.4428113995934386,13.222222222222221,0.046538444444444445,9
F,B,STPA4,BIM,cv,1.7735832098255224,7.666666666666667,2.09391,3
F,B,TECO,BIM,cv,3.1591218041880147,11.5,0.26757773333333335,10
F,B,THME,BIM,cv,3.872983346207417,14,0.00549666666666666,1
F,B,TRRA,BIM,cv,3.2706566756609976,12.416666666666666,0.05631236111111111,12
F,B,ZIGR,BIM,cv,3.0006415368903063,11.428571428571429,0.638976,7
F,C,APRAH,BIM,cv,3.872983346207417,14,0.00109933333333333,1
F,C,ARAD,BIM,cv,3.872983346207417,14,0.01808333333333333,4
F,C,ARIST,BIM,cv,2.185132145846132,7.833333333333333,3.8263366666666663,6
F,C,ARPA9,BIM,cv,3.872983346207417,14,1.0488,2
F,C,ASTRA,BIM,cv,3.383517031251193,13.142857142857142,0.02327780952380952,14
F,C,BAABA,BIM,cv,2.652661080915657,9.833333333333334,1.7496653333333334,12
F,C,BAMU,BIM,cv,3.872983346207417,14,0.00549666666666666,1
F,C,BOBA2,BIM,cv,2.5832281002981303,11.214285714285714,0.240198,28
F,C,BOER4,BIM,cv,2.6673735165781034,10.285714285714286,3.4992534285714285,14
F,C,CHER2,BIM,cv,2.321610314464361,8.375,1.4219780833333333,8
