kartez,F_A_BM_acor,F_A_BM_cv,F_B_BM_acor,F_B_BM_cv,F_C_BM_acor,F_C_BM_cv,F_F_BM_acor,F_F_BM_cv,F_G_BM_acor,F_G_BM_cv,F_P_BM_acor,F_P_BM_cv
ACNE,-0.07148170480346938,2.851631151953128,NA,NA,NA,NA,NA,NA,NA,NA,-0.07148170480346938,2.851631151953128
AGHE5,0.28518714823918523,2.7778547003092955,NA,NA,NA,NA,NA,NA,NA,NA,0.28518714823918523,2.7778547003092955
ALIN,-0.10677806255812261,3.3093332339125654,-0.07619047619047618,3.872983346207417,NA,NA,-0.10677806255812261,3.3093332339125654,-0.11697392468067142,3.1214498631476153,NA,NA
ALMA4,-0.04134449315796463,2.5905251356610073,-0.04134449315796463,2.5905251356610073,NA,NA,-0.04134449315796463,2.5905251356610073,NA,NA,NA,NA
AMPA,-0.07837628342464582,3.530013594291613,-0.0761904761904762,3.872983346207417,NA,NA,-0.0761904761904762,3.872983346207417,NA,NA,-0.07878612228105263,3.4657067658073997
APRAH,-0.08805617873131617,3.453363643453102,-0.07619047619047627,3.872983346207417,-0.07619047619047618,3.872983346207417,-0.08805617873131617,3.453363643453102,-0.09201141291159616,3.3134904092016635,NA,NA
ARAD,-0.05127441171818306,3.599234412716427,-0.04296905689408536,3.50798476821943,-0.07619047619047617,3.872983346207417,-0.0490093149479746,3.574348146035428,NA,NA,-0.07619047619047617,3.872983346207417
ARFEF,-0.03759617893880045,3.2424079394182885,NA,NA,NA,NA,NA,NA,NA,NA,-0.03759617893880045,3.2424079394182885
ARIST,0.12876600816005532,2.6788222499120407,0.1645719809902626,2.6613975598952417,0.15209057634395645,2.156823251088738,0.1691227041836189,2.5387127725089953,0.2611755964428133,2.5802182502935525,0.06318637712176446,2.906500150691989
ARLUL2,-0.1336606014470453,1.7473321626279805,NA,NA,NA,NA,NA,NA,NA,NA,-0.1336606014470453,1.7473321626279805
ARPA9,-0.00476190476190475,3.872983346207417,NA,NA,-0.00476190476190475,3.872983346207417,-0.00476190476190475,3.872983346207417,NA,NA,NA,NA
ASTRA,-0.056416805865905126,3.0885320569118306,-0.0788805502505845,3.4903721733602686,-0.04475287049815801,3.383517031251193,-0.026885275836206275,3.348594521921944,0.0355390012546428,3.188546476843033,-0.08594833589560398,2.8284695919017167
BAABA,0.09191000764307486,2.7465320243996385,NA,NA,0.09996600034348982,2.652661080915657,0.09996600034348982,2.652661080915657,NA,NA,-0.00476190476190475,3.872983346207417
BADI,0.0745189824805673,2.322616144700639,NA,NA,NA,NA,NA,NA,NA,NA,0.0745189824805673,2.322616144700639
BAMU,-0.07619047619047618,3.872983346207417,NA,NA,-0.07619047619047618,3.872983346207417,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA
BAPT,0.1506080087162416,1.225694642459565,NA,NA,NA,NA,NA,NA,NA,NA,0.1506080087162416,1.225694642459565
BAWR,-0.00476190476190477,3.8729833462074175,-0.00476190476190477,3.8729833462074175,NA,NA,-0.00476190476190477,3.8729833462074175,NA,NA,NA,NA
BELY,-0.00476190476190476,3.872983346207417,-0.00476190476190476,3.872983346207417,NA,NA,-0.00476190476190476,3.872983346207417,NA,NA,NA,NA
BOBA2,-0.09300579299620894,3.0012481004288754,-0.02300797848846271,3.313191658033473,-0.13238070204680613,2.7402669497549854,-0.0995083949023226,2.961471664836974,-0.08372439100370659,3.4264340842638106,-0.06121529478854212,3.195710674433729
BOCU,-0.02396612060783559,2.2194676606477435,NA,NA,NA,NA,NA,NA,NA,NA,-0.02396612060783559,2.2194676606477435
BOER4,0.26682176772370886,1.2022789253345043,0.25798897327381265,1.2007083477708562,0.15050657204479032,2.6673735165781034,0.258334194554052,1.3013520499597038,0.3272969937947305,0.5327093643004787,0.2759380500170441,1.0958670507370678
BOGR2,0.10695089421208095,1.5786312408869214,0.2195318092492722,0.8254134581696994,NA,NA,0.2195318092492722,0.8254134581696994,NA,NA,0.06812988902684258,1.8383615107894118
BOHI2,0.07636399730864452,3.2097644349502525,NA,NA,NA,NA,NA,NA,NA,NA,0.07636399730864452,3.2097644349502525
BOSP,-0.00476190476190476,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.00476190476190476,3.872983346207417
BRCA3,-0.029443363702678395,3.3440172072644474,NA,NA,NA,NA,NA,NA,NA,NA,-0.029443363702678395,3.3440172072644474
BREUC2,-0.10083747531346261,3.3113944716271533,-0.10083747531346261,3.3113944716271533,NA,NA,-0.10083747531346261,3.3113944716271533,NA,NA,NA,NA
CHAL11,-0.17065095561739477,1.8884206390672311,-0.17065095561739477,1.8884206390672311,NA,NA,-0.17065095561739477,1.8884206390672311,NA,NA,NA,NA
CHCHC3,0.18276558546734986,2.597789679968922,NA,NA,NA,NA,NA,NA,NA,NA,0.18276558546734986,2.597789679968922
CHCO,-0.08601333726247773,3.6631292530148825,-0.07619047619047618,3.872983346207417,NA,NA,-0.07619047619047618,3.872983346207417,NA,NA,-0.09583619833447928,3.4532751598223475
CHCO2,-0.05828595151774076,2.86665778685105,-0.056904322578845035,2.8992763235437757,NA,NA,-0.056904322578845035,2.8992763235437757,NA,NA,-0.05939125466885735,2.8405629574968696
CHER2,0.090135582147499907,2.377870285859539,-0.07619047619047614,3.872983346207417,0.10697948654262605,2.321610314464361,0.10124092874366859,2.617890557956114,0.1450819095911636,2.98960694451702,0.04571419576282516,1.4177891974732397
CHFE3,0.08094373926874646,2.6970339271461823,NA,NA,NA,NA,NA,NA,NA,NA,0.08094373926874646,2.6970339271461823
CHGR2,-0.13896953610866333,2.1853873838828646,NA,NA,NA,NA,NA,NA,NA,NA,-0.13896953610866333,2.1853873838828646
CHIN2,-0.07619047619047618,3.872983346207417,-0.07619047619047618,3.872983346207417,NA,NA,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA
CHLA10,-0.07619047619047623,3.872983346207417,-0.07619047619047625,3.872983346207417,NA,NA,-0.07619047619047625,3.872983346207417,NA,NA,-0.07619047619047621,3.872983346207417
CHRE4,-0.12321205340704021,2.966047973351045,-0.04884598040549293,3.218770315751267,-0.09952897559789708,3.461413255678879,-0.05416498203167274,3.053153696135011,-0.05106950953823222,2.9578790205147336,-0.149104705172803,2.933383327307058
CHSE7,-0.13342702784969804,2.960646703365512,-0.14939508843679888,2.972208080610237,-0.1459197909846476,2.8328914711715374,-0.13766472195979373,2.891528551395942,-0.10965182560320952,2.9186968164560225,-0.10411631025486957,3.4387139211550406
CHSES,-0.09573680249962974,2.9093151762124947,-0.13581495131368299,2.7658868495500424,-0.15139896223729288,2.8160485713497976,-0.13139269509842047,2.9140945042493938,-0.07186563924941868,3.4588928436604083,-0.056277614690301334,2.904026053184993
CHST8,-0.10361191332521523,3.450252267846308,NA,NA,-0.10361191332521523,3.450252267846308,-0.10361191332521523,3.450252267846308,NA,NA,NA,NA
CINE,0.16639612283183908,1.9970395396451939,0.4300185640401966,1.5341512333518947,NA,NA,0.4300185640401966,1.5341512333518947,NA,NA,-0.09722631837651848,2.459927845938493
COAR4,-0.07619047619047624,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047624,3.872983346207417
COEQ,-0.019387105848717882,3.7379380738839605,0.013071962918001162,3.6607693468419855,NA,NA,0.013071962918001162,3.6607693468419855,NA,NA,-0.07619047619047621,3.872983346207417
CRCR3,-0.07785882128657415,3.4801332021333997,-0.049816849816849786,3.6261853398776815,-0.0986038059489907,3.2074458991414767,-0.07802158666180323,3.4418063588091057,-0.07619047619047617,3.8729833462074175,-0.07619047619047616,3.8729833462074175
CYIMI,0.09687778541188713,3.0212348946301826,0.3049619847939175,2.98138179247229,NA,NA,0.3049619847939175,2.98138179247229,NA,NA,0.08970246819181711,3.022609139532179
CYLE8,-0.07619047619047607,3.872983346207416,NA,NA,-0.07619047619047607,3.872983346207416,-0.07619047619047607,3.872983346207416,NA,NA,NA,NA
DABR,-0.12190141061298373,3.0795723709170386,NA,NA,NA,NA,NA,NA,NA,NA,-0.12190141061298373,3.0795723709170386
DAFO,0.10445051628634015,0.34978653055764775,NA,NA,NA,NA,NA,NA,NA,NA,0.10445051628634015,0.34978653055764775
DALEA,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047618,3.872983346207417
DAPU7,-0.004859217670633903,2.2834274771342162,0.03209853857664958,2.6788183436285107,-0.017208643573598706,2.0288757264687756,-0.004859217670633903,2.2834274771342162,-0.029338231641222696,2.6686803405939745,NA,NA
DEPI,-0.07473808731212454,3.7097002092056863,-0.00476190476190476,3.872983346207417,-0.0842989697168855,3.750255691123712,-0.06441470347814032,3.780937604894638,NA,NA,-0.0983343932183742,3.546871876202367
DRCUC,-0.04603801995106345,3.7636427161475696,NA,NA,NA,NA,NA,NA,NA,NA,-0.04603801995106345,3.7636427161475696
DRGL5,-0.08188585071566153,2.305743897692155,NA,NA,NA,NA,NA,NA,NA,NA,-0.08188585071566153,2.305743897692155
ECCOC,0.09043142482901205,2.975039016535422,NA,NA,NA,NA,NA,NA,NA,NA,0.09043142482901205,2.975039016535422
ECFEF3,0.11273740770893319,2.9385296154191165,0.30166529160834255,2.004075884630817,NA,NA,0.30166529160834255,2.004075884630817,NA,NA,-0.07619047619047614,3.8729833462074166
ECIN2,0.03308840691258426,3.4696884984689875,0.08772784846411445,3.2680410745997723,NA,NA,0.08772784846411445,3.2680410745997723,NA,NA,-0.07619047619047614,3.872983346207417
ELEL5,-0.03184141530644069,2.9596839620874613,-0.07619047619047613,3.8729833462074175,-0.06659501921536262,2.8686634939391635,-0.06979350487373379,3.2034367780285815,NA,NA,-0.023708824684877883,2.907451215814364
ENDE,-0.10318971864298442,3.278640605587042,-0.13220685395929316,2.976771692843843,-0.07304418335450463,3.6230094588021946,-0.1043635987496152,3.2527996168644173,-0.07564281006202483,3.4330161655350286,-0.07619047619047618,3.872983346207417
EPTO,0.30598165495706475,2.1844340249439407,-0.00476190476190475,3.872983346207417,NA,NA,0.30598165495706475,2.1844340249439407,0.6167252146760343,0.4958847036804647,NA,NA
ERAB2,-0.026641388262622114,3.693162211749452,-0.07619047619047617,3.872983346207417,0.02290769966523194,3.513341077291487,-0.026641388262622114,3.693162211749452,NA,NA,NA,NA
ERCI,-0.09467076988816121,3.3656189187655645,-0.09368551542464588,3.2911344531388282,NA,NA,-0.09368551542464588,3.2911344531388282,NA,NA,-0.09696969696969697,3.5394160052279497
ERCI6,-0.026534927413723347,3.3896678364978077,NA,NA,NA,NA,NA,NA,NA,NA,-0.026534927413723347,3.3896678364978077
ERDI4,-0.07619047619047618,3.872983346207417,-0.0761904761904762,3.872983346207417,NA,NA,-0.0761904761904762,3.872983346207417,NA,NA,-0.07619047619047618,3.872983346207417
ERFL,0.008002021305145438,3.276493215515262,NA,NA,NA,NA,NA,NA,NA,NA,0.008002021305145438,3.276493215515262
ERME,-0.0706222192651824,3.6621631361465874,NA,NA,NA,NA,NA,NA,NA,NA,-0.0706222192651824,3.6621631361465874
ERPO4,-0.07619047619047617,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047617,3.872983346207417
ERTE13,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA,-0.07619047619047618,3.872983346207417,-0.07619047619047618,3.872983346207417,NA,NA
ERWR,0.06445989054185797,3.1048019394313964,NA,NA,NA,NA,NA,NA,NA,NA,0.06445989054185797,3.1048019394313964
ESVIV,-0.00476190476190475,3.872983346207416,-0.00476190476190475,3.872983346207416,NA,NA,-0.00476190476190475,3.872983346207416,NA,NA,NA,NA
EUEX4,-0.08601095221211592,3.1768348998361278,-0.11611260156837061,2.9692211859287556,-0.12760691303704377,3.1431646055454245,-0.09176228086626771,3.02327061472576,-0.043893584929900836,3.0479268395681762,-0.06537383174721832,3.727859687585095
EVNU,0.049293707553221086,2.7417933927555023,0.049293707553221086,2.7417933927555023,NA,NA,0.049293707553221086,2.7417933927555023,NA,NA,NA,NA
FESTU,-0.00476190476190474,3.872983346207417,-0.00476190476190474,3.872983346207417,NA,NA,-0.00476190476190474,3.872983346207417,NA,NA,NA,NA
FUCR,-0.04173407101583897,3.491494497394681,NA,NA,NA,NA,NA,NA,NA,NA,-0.04173407101583897,3.491494497394681
FUCYH,-0.00476190476190475,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.00476190476190475,3.872983346207417
GACO5,-0.016629061290639745,2.0311712481569764,-0.016629061290639745,2.0311712481569764,NA,NA,-0.016629061290639745,2.0311712481569764,NA,NA,NA,NA
GASUN,-0.016823257217061294,3.0355122465539024,-0.016823257217061294,3.0355122465539024,NA,NA,-0.016823257217061294,3.0355122465539024,NA,NA,NA,NA
GIME,-0.07619047619047618,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047618,3.872983346207417
GLBI2,-0.03729409423270028,3.283371156355394,-0.024309865086188934,3.1834712029231564,NA,NA,-0.024309865086188934,3.1834712029231564,NA,NA,-0.04196841672544437,3.3193351395909994
GRCL,0.41732700686079316,0.880311925692921,0.6793853650138579,1.1659731353586953,0.2862978277842607,0.7374813208600339,0.41732700686079316,0.880311925692921,NA,NA,NA,NA
GUSA2,0.20121067484318922,2.788985320520232,-0.07619047619047624,3.872983346207417,0.12030140264133025,2.94267537594168,0.19290393253265,2.826902805356431,0.32079089062598776,2.5886965543987666,0.22723846741621206,2.6701772013668092
GUSP,-0.0761904761904762,3.872983346207417,NA,NA,-0.07619047619047621,3.872983346207417,-0.07619047619047621,3.872983346207417,NA,NA,-0.0761904761904762,3.872983346207417
HENA,0.16229106621116532,2.761184265730621,NA,NA,NA,NA,NA,NA,NA,NA,0.16229106621116532,2.761184265730621
HEOB,-0.07619047619047617,3.872983346207417,NA,NA,NA,NA,NA,NA,NA,NA,-0.07619047619047617,3.872983346207417
HEPI2,0.022158814910626854,3.2565395456795008,NA,NA,NA,NA,NA,NA,NA,NA,0.022158814910626854,3.2565395456795008
