"kartez","family","genus.old","genus.new","species.old","species.new","taxon.old","taxon.new","life_cycle","life_form","native","path","a_p","g_f","apgf","avg.height_A","avg.height_B","avg.height_C","avg.height_F","avg.height_G","avg.height_P","max.height_A","max.height_B","max.height_C","max.height_F","max.height_G","max.height_P","p95.height_A","p95.height_B","p95.height_C","p95.height_F","p95.height_G","p95.height_P","ldmc","sla","lma","area","d15N","d13C","pN","pC","cn","sdmc","rdmc","sdens","rdens","fr.diam","fr.dmc","fr.srl","fr.dens","seed_mass"
"ACNE","Euphorbiaceae","Acalypha","Acalypha","neomexicana","neomexicana","Acalypha_neomexicana","Acalypha_neomexicana","a","H","y","C3","a","f","a_f",8.5367,NA,NA,NA,NA,8.5367,27,NA,NA,NA,NA,27,18,NA,NA,NA,NA,18,0.1999,77.2447,0.0131,0.8107,-2.3316,-28.7276,1.7122,45.4754,26.7299,0.2428,0.2247,0.0013,0.001,0.0275,0.0485,0.0345,63.6543,0.3895
"ALIN","Nyctaginaceae","Allionia","Allionia","incarnata","incarnata","Allionia_incarnata","Allionia_incarnata","ap","H","y","C4","p","f","p_f",5.0746,7,NA,5.0746,5.0455,NA,17,7,NA,17,17,NA,15,7,NA,15,15,NA,0.136,27.0355,0.0373,2.1615,3.3374,-13.9711,2.0315,33.6202,16.5871,0.2905,0.3369,5e-04,4e-04,0.0346,0.0818,0.0601,92.5171,NA
"AMPA","Amaranthaceae","Amaranthus","Amaranthus","palmeri","palmeri","Amaranthus_palmeri","Amaranthus_palmeri","a","H","y","C4","a","f","a_f",10.2215,11.7273,4,11.0833,NA,10.146,41,41,4,41,NA,36,27.85,29.3,4,28,NA,27.4,0.1535,51.7316,0.0203,0.5298,5.6719,-14.561,2.872,41.1507,15.131,0.2075,0.2424,3e-04,3e-04,0.0427,0.082,0.0902,81.9845,0.2408
"APRAH","Asteraceae","Aphanostephus","Aphanostephus","ramosissimus","ramosissimus","Aphanostephus_ramosissimus","Aphanostephus_ramosissimus","ap","H","y","C3","p","f","p_f",7.35,5,1,7.35,7.3989,NA,23,5,1,23,23,NA,16,5,1,16,16.05,NA,0.1526,51.7354,0.0198,0.4908,2.5582,-31.4646,2.3663,47.618,21.8141,0.2717,0.2947,6e-04,5e-04,0.0274,0.0595,0.0429,118.4242,0.2649
"ARAD","Poaceae","Aristida","Aristida","adscensionis","adscensionis","Aristida_adscensionis","Aristida_adscensionis","a","G","y","C4","a","g","a_g",12.1554,12.5344,8.4286,12.2847,11.3333,7.5,43,43,20,43,18,12,26.65,27.3,19.4,26.75,17.5,11.55,0.3526,41.1159,0.0245,0.6482,3.3523,-15.5143,1.569,43.8384,28.2499,0.2032,0.3771,0.002,0.0016,0.0435,0.1695,0.1625,159.0435,0.7031
"ARFEF","Brassicaceae","Arabis","Boechera","fendleri","fendleri","Arabis_fendleri","Boechera_fendleri","p","ss/H","y","C3","p","f","p_f",3.12,NA,NA,NA,NA,3.12,60,NA,NA,NA,NA,60,10.35,NA,NA,NA,NA,10.35,0.2348,25.7488,0.041,0.7774,-3.0131,-29.4323,2.7829,43.9646,15.8735,0.3103,0.3361,6e-04,5e-04,0.0287,0.0727,0.0265,67.4958,0.0625
"ARPU9","Poaceae","Aristida","Aristida","purpurea","purpurea","Aristida_purpurea","Aristida_purpurea","ap","G","y","C4","p","g","p_g",13.8327,14.3953,12.5169,14.1121,16.1754,11.7419,32,31,32,32,32,19,25.15,26,20.9,26,28.8,18,0.4013,14.7318,0.0681,0.7405,1.224,-14.202,1.1882,44.931,37.9402,0.4431,0.3245,8e-04,0.0012,NA,NA,NA,NA,2.0734
"ASFE2","Fabaceae","Astragalus","Astragalus","missouriensis","missouriensis","Astragalus_missouriensis","Astragalus_missouriensis","p","H","y","C3","p","f","p_f",4.1667,6,NA,4.1667,3.25,NA,7,7,NA,7,5,NA,6.5,6.9,NA,6.5,4.85,NA,0.2619,21.249,0.0471,0.3475,0.9137,-28.216,4.6213,45.973,9.9788,0.215,0.2361,3e-04,4e-04,0.0648,0.2048,0.5705,330.9167,3.3483
"ASNU4","Fabaceae","Astragalus","Astragalus","nuttallianus","nuttallianus","Astragalus_nuttallianus","Astragalus_nuttallianus","ap","H","y","C3","p","f","p_f",2.1842,1.5,5.1429,4.4167,4.6667,2.168,10,2,8,10,10,10,6,1.95,8,9.1,9.3,6,0.2153,31.4569,0.032,0.3862,-0.4093,-27.5011,5.2344,45.6789,8.9287,0.2198,0.262,6e-04,6e-04,0.0479,0.1109,0.0953,63.115,1.1976
"BAABA","Asteraceae","Bahia","Bahia","absinthifolia","absinthifolia","Bahia_absinthifolia","Bahia_absinthifolia","p","H","y","C3","p","f","p_f",13.6854,NA,13.6854,13.6854,NA,NA,56,NA,56,56,NA,NA,35,NA,35,35,NA,NA,0.1701,20.7721,0.0493,1.0142,1.1197,-28.981,2.328,43.5781,19.016,0.3732,0.3816,6e-04,5e-04,0.0666,0.0603,0.1648,64.8407,0.404
