year,season,date,site,web,plot,quad,treatment,species,obs,cover,height,count,comment
1999,1,2/3/1999,C,1,E,1,C,DAPU7,1,0.5,4,13,NA
1999,1,2/3/1999,C,1,E,1,C,DAPU7,2,0.1,2,16,NA
1999,1,2/3/1999,C,1,E,1,C,GUSA2,1,0.01,4,2,NA
1999,1,2/3/1999,C,1,E,1,C,GUSA2,2,0.1,5,1,NA
1999,1,2/3/1999,C,1,E,1,C,GUSA2,3,0.5,12,1,NA
1999,1,2/3/1999,C,1,E,1,C,LEFE,1,0.25,5,1,NA
1999,1,2/3/1999,C,1,E,2,C,DAPU7,1,0.25,3,3,NA
1999,1,2/3/1999,C,1,E,2,C,DAPU7,2,0.05,2,11,NA
1999,1,2/3/1999,C,1,E,2,C,GUSA2,1,0.01,5,1,NA
1999,1,2/3/1999,C,1,E,2,C,LATR2,1,7,36,2,NA
1999,1,2/3/1999,C,1,E,2,C,LATR2,2,2,32,3,NA
1999,1,2/3/1999,C,1,E,2,C,LATR2,3,8,61,1,NA
1999,1,2/3/1999,C,1,E,2,C,LATR2,4,3,45,1,NA
1999,1,2/3/1999,C,1,E,2,C,LATR2,5,2,24,1,NA
1999,1,2/3/1999,C,1,E,2,C,LEFE,1,0.1,4,3,NA
1999,1,2/3/1999,C,1,E,2,C,LEFE,2,0.25,5,8,NA
1999,1,2/3/1999,C,1,E,3,C,DAPU7,1,0.25,4,23,NA
1999,1,2/3/1999,C,1,E,3,C,DAPU7,2,0.1,2,8,NA
1999,1,2/3/1999,C,1,E,3,C,GUSA2,1,0.01,4,1,NA
1999,1,2/3/1999,C,1,E,3,C,LATR2,1,3,39,1,NA
1999,1,2/3/1999,C,1,E,3,C,LATR2,2,2,21,2,NA
1999,1,2/3/1999,C,1,E,3,C,LEFE,1,0.25,6,3,NA
1999,1,2/3/1999,C,1,E,4,C,DAPU7,1,0.25,4,9,NA
1999,1,2/3/1999,C,1,E,4,C,DAPU7,2,0.1,3,10,NA
1999,1,2/3/1999,C,1,E,4,C,GUSA2,1,0.01,6,1,NA
1999,1,2/3/1999,C,1,E,4,C,LATR2,1,6,59,1,NA
1999,1,2/3/1999,C,1,E,4,C,LATR2,2,3,32,4,NA
1999,1,2/3/1999,C,1,E,4,C,LATR2,3,2,17,7,NA
1999,1,2/3/1999,C,1,E,4,C,LATR2,4,1,22,6,NA
1999,1,2/3/1999,C,1,E,4,C,LEFE,1,0.25,10,3,NA
1999,1,2/3/1999,C,1,E,4,C,LEFE,2,0.1,4,6,NA
1999,1,2/3/1999,C,1,N,1,C,ARPU9,1,1.5,16,1,NA
1999,1,2/3/1999,C,1,N,1,C,CHER2,1,0.5,3,3,NA
1999,1,2/3/1999,C,1,N,1,C,CHER2,2,0.25,3,5,NA
1999,1,2/3/1999,C,1,N,1,C,DAPU7,1,0.1,2,34,NA
1999,1,2/3/1999,C,1,N,1,C,DAPU7,2,0.25,3,6,NA
1999,1,2/3/1999,C,1,N,1,C,DAPU7,3,0.5,3,2,NA
1999,1,2/3/1999,C,1,N,2,C,CHER2,1,0.1,2,4,NA
1999,1,2/3/1999,C,1,N,2,C,DAPU7,1,0.25,3,3,NA
1999,1,2/3/1999,C,1,N,2,C,DAPU7,2,0.1,2,3,NA
1999,1,2/3/1999,C,1,N,2,C,DAPU7,3,0.5,3,2,NA
1999,1,2/3/1999,C,1,N,2,C,LATR2,1,0.5,16,1,NA
1999,1,2/3/1999,C,1,N,2,C,LATR2,2,0.5,13,1,NA
1999,1,2/3/1999,C,1,N,2,C,LEFE,1,0.25,8,1,NA
1999,1,2/3/1999,C,1,N,2,C,LEFE,2,0.1,7,1,NA
1999,1,2/3/1999,C,1,N,2,C,LEFE,3,0.1,3,1,NA
1999,1,2/3/1999,C,1,N,3,C,DAPU7,1,0.25,3,5,NA
1999,1,2/3/1999,C,1,N,3,C,GUSA2,1,0.5,10,1,NA
1999,1,2/3/1999,C,1,N,3,C,LATR2,1,3,26,1,NA
1999,1,2/3/1999,C,1,N,3,C,LATR2,2,6,37,1,NA
1999,1,2/3/1999,C,1,N,3,C,LATR2,3,1.5,24,1,NA
1999,1,2/3/1999,C,1,N,3,C,LATR2,4,2,23,1,NA
1999,1,2/3/1999,C,1,N,3,C,LATR2,5,3,18,1,NA
1999,1,2/3/1999,C,1,N,3,C,LATR2,6,0.5,4,1,NA
1999,1,2/3/1999,C,1,N,4,C,DAPU7,1,0.5,4,3,NA
1999,1,2/3/1999,C,1,N,4,C,DAPU7,2,0.25,3,9,NA
1999,1,2/3/1999,C,1,N,4,C,DAPU7,3,0.05,2,8,NA
1999,1,2/3/1999,C,1,N,4,C,GUSA2,1,0.1,8,2,NA
1999,1,2/3/1999,C,1,N,4,C,LATR2,1,0.5,24,2,NA
1999,1,2/3/1999,C,1,N,4,C,MUAR2,1,1.5,4,1,NA
1999,1,2/3/1999,C,1,N,4,C,MUAR2,2,0.5,6,11,NA
1999,1,2/3/1999,C,1,S,1,C,DAPU7,1,0.5,4,13,NA
1999,1,2/3/1999,C,1,S,1,C,DAPU7,2,0.1,2,21,NA
1999,1,2/3/1999,C,1,S,1,C,GUSA2,1,1,19,3,NA
1999,1,2/3/1999,C,1,S,1,C,LEFE,1,0.5,5,1,NA
1999,1,2/3/1999,C,1,S,1,C,LEFE,2,0.05,2,2,NA
1999,1,2/3/1999,C,1,S,1,C,MUPO2,1,2,19,1,NA
1999,1,2/3/1999,C,1,S,2,C,DAPU7,1,0.25,4,14,NA
1999,1,2/3/1999,C,1,S,2,C,DAPU7,2,0.1,4,11,NA
1999,1,2/3/1999,C,1,S,2,C,LATR2,1,2,26,4,NA
1999,1,2/3/1999,C,1,S,2,C,LATR2,2,0.5,15,4,NA
1999,1,2/3/1999,C,1,S,2,C,LEFE,1,0.5,12,5,NA
1999,1,2/3/1999,C,1,S,2,C,MUPO2,1,5,23,1,NA
1999,1,2/3/1999,C,1,S,3,C,DAPU7,1,0.1,2,6,NA
1999,1,2/3/1999,C,1,S,3,C,DAPU7,2,0.5,4,2,NA
1999,1,2/3/1999,C,1,S,3,C,LATR2,1,3,31,1,NA
1999,1,2/3/1999,C,1,S,3,C,LATR2,2,2,23,2,NA
1999,1,2/3/1999,C,1,S,3,C,LEFE,1,0.05,1,1,NA
1999,1,2/3/1999,C,1,S,4,C,DAPU7,1,0.5,4,7,NA
1999,1,2/3/1999,C,1,S,4,C,DAPU7,2,0.25,2,9,NA
1999,1,2/3/1999,C,1,S,4,C,GUSA2,1,1.5,17,1,NA
1999,1,2/3/1999,C,1,W,1,C,DAPU7,1,0.5,4,1,NA
1999,1,2/3/1999,C,1,W,1,C,LATR2,1,1.5,17,1,NA
1999,1,2/3/1999,C,1,W,1,C,LATR2,2,1.5,12,1,NA
1999,1,2/3/1999,C,1,W,1,C,LATR2,3,1,13,1,NA
1999,1,2/3/1999,C,1,W,1,C,LATR2,4,1,15,1,NA
1999,1,2/3/1999,C,1,W,1,C,LATR2,5,0.5,10,1,NA
1999,1,2/3/1999,C,1,W,1,C,LATR2,6,0.5,8,1,NA
1999,1,2/3/1999,C,1,W,2,C,DAPU7,1,0.25,4,2,NA
1999,1,2/3/1999,C,1,W,2,C,GUSA2,1,0.5,14,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,1,2,26,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,2,1,18,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,3,1,20,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,4,1.5,26,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,5,2,19,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,6,1.5,19,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,7,2,18,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,8,2,14,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,9,2.5,16,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,10,2.5,21,1,NA
1999,1,2/3/1999,C,1,W,2,C,LATR2,11,4,32,1,NA
1999,1,2/3/1999,C,1,W,2,C,LEFE,1,1.5,17,1,NA
1999,1,2/3/1999,C,1,W,2,C,LEFE,2,0.5,8,1,NA
1999,1,2/3/1999,C,1,W,3,C,DAPU7,1,0.25,3,3,NA
1999,1,2/3/1999,C,1,W,3,C,DAPU7,2,0.5,3,2,NA
1999,1,2/3/1999,C,1,W,3,C,LATR2,1,6,20,3,NA
1999,1,2/3/1999,C,1,W,3,C,LATR2,2,4,41,1,NA
1999,1,2/3/1999,C,1,W,3,C,LATR2,3,5.5,58,1,NA
1999,1,2/3/1999,C,1,W,3,C,LATR2,4,4.5,42,1,NA
1999,1,2/3/1999,C,1,W,3,C,LATR2,5,3,17,1,NA
1999,1,2/3/1999,C,1,W,3,C,LEFE,1,0.5,9,1,NA
1999,1,2/3/1999,C,1,W,3,C,LEFE,2,1,8,2,NA
1999,1,2/3/1999,C,1,W,4,C,GUSA2,1,0.1,21,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,1,3,28,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,2,4,42,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,3,4,21,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,4,1.5,11,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,5,5,36,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,6,4,28,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,7,2,34,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,8,6,37,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,9,3.5,38,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,10,5,39,1,NA
1999,1,2/3/1999,C,1,W,4,C,LATR2,11,3.5,40,1,NA
1999,1,2/3/1999,C,1,W,4,C,LEFE,1,0.25,6,1,NA
1999,1,2/3/1999,C,1,W,4,C,LEFE,2,0.1,3,1,NA
1999,1,2/3/1999,C,1,W,4,C,LEFE,3,0.5,15,1,NA
