kartez,family,genus,species,subspecies_variety,common name,photosynthetic_pathway,life_cycle,life_form,native,path,a_p,g_f,apgf
ACRE3,Asteraceae,Acroptilon,repens,,hardheads,,p,H,n,C3,p,f,p_f
AGGI2,Poaceae,Agrostis,gigantea,,redtop,,p,G,n,C3,p,g,p_g
AIAL,Simaroubaceae,Ailanthus,altissima,,tree of heaven,,p,T,n,C3,p,t,p_t
AMBL,Amaranthaceae,Amaranthus,blitoides,,mat amaranth,C4,a,H,n,C4,a,f,a_f
BAHY,Chenopodiaceae,Bassia,hyssopifolia,,hybrid beardgrass,,a,H,n,NA,a,f,a_f
BASC5,Chenopodiaceae,Bassia,scoparia,,burningbush,,a,H,n,NA,a,f,a_f
BRTE,Poaceae,Bromus,tectorum,,cheatgrass,C3,a,G,n,C3,a,g,a_g
CHAL7,Chenopodiaceae,Chenopodium,album,,lambsquarters,C3,a,H,n,C3,a,f,a_f
CHAM,Chenopodiaceae,Chenopodium,ambrosioides,,Mexican tea,C3,ap,ss/H,n,C3,p,f,p_f
CHGL3,Chenopodiaceae,Chenopodium,glaucum,,oakleaf goosefoot,,a,H,n,NA,a,f,a_f
CHRU,Chenopodiaceae,Chenopodium,rubrum,,red goosefoot,C3,a,H,n,C3,a,f,a_f
COAR4,Convolvulaceae,Convolvulus,arvensis,,field bindweed,C3,p,V/H,n,C3,p,f,p_f
COCA5,Asteraceae,Conyza,canadensis,,Canadian horseweed,,ab,H,n,C3,a,f,a_f
CYOF,Boraginaceae,Cynoglossum,officinale,,gypsyflower,,b,H,n,C3,a,f,a_f
DESO2,Brassicaceae,Descurainia,sophia,,herb sophia,,ab,H,n,C3,a,f,a_f
ERBA2,Poaceae,Eragrostis,barrelieri,,Mediterranean lovegrass,C4,a,G,n,C4,a,g,a_g
ERCI,Poaceae,Eragrostis,cilianensis,,stinkgrass,,a,G,n,C4,a,g,a_g
ERCI6,Geraniaceae,Erodium,cicutarium,,redstem stork's bill,C3,ab,H,n,C3,a,f,a_f
EUDA5,Euphorbiaceae,Euphorbia,davidii,,David's spurge,,a,H,n,NA,a,f,a_f
LASE,Asteraceae,Lactuca,serriola,,prickly lettuce,C3,ab,H,n,C3,a,f,a_f
MOCE,Molluginaceae,Mollugo,cerviana,,threadstem carpetweed,,a,H,n,C4,a,f,a_f
POLA4,Polygonaceae,Polygonum,lapathifolia,,curlytop knotweed,C3,a,H,n,C3,a,f,a_f
POMO5,Poaceae,Polypogon,monspeliensis,,annual rabbitsfoot grass,C3,a,G,n,C3,a,g,a_g
POVI9,Poaceae,Polypogon,viridis,,beardless rabbitsfoot grass,,p,G,n,C3,p,g,p_g
PRSA2,Pedaliaceae,Proboscidea,sabulosa,,sanddune unicorn-plant,C3,a,H,n,C3,a,f,a_f
RARA2,Brassicaceae,Raphanus,raphanistrum,,wild radish,,ab,H,n,C3,a,f,a_f
ROIS2,Brassicaceae,Rorippa,islandica,,northern marsh yellowcress,,ab,H,n,C3,a,f,a_f
SAKA,Chenopodiaceae,Salsola,kali,,Russian thistle,C4,a,H,n,C4,a,f,a_f
SATR12,Chenopodiaceae,Salsola,tragus,,prickly Russian thistle,,a,H,n,C4,a,f,a_f
SCLA6,Asteraceae,Scorzonera,laciniata ,,cutleaf vipergrass,C3,p,H,n,C3,p,f,p_f
SEPU8,Poaceae,Setaria,pumila,,yellow foxtail,,a,G,n,NA,a,g,a_g
SIAL2,Brassicaceae,Sisymbrium,altissimum,,,,ab,H,n,C3,a,f,a_f
SIIR,Brassicaceae,Sisymbrium,irio,,London rocket,,a,H,n,C3,a,f,a_f
SOAS,Asteraceae,Sonchus,asper,,spiny sowthistle,,a,H,n,C3,a,f,a_f
SOHA,Poaceae,Sorghum,halepense,,Johnsongrass,C4,p,G,n,C4,p,g,p_g
TACH2,Tamaricaceae,Tamarix,chinensis,,five-stamen tamarisk,,p,T/S,n,C3,p,t,p_t
TARA,Tamaricaceae,Tamarix,ramosissima,,saltcedar,,p,T/S,n,C3,p,t,p_t
TRAE,Poaceae,Triticum,aestivum,,common wheat,C3,a,G,n,C3,a,g,a_g
TRDU,Asteraceae,Tragopogon,dubius,,yellow salsify,C3,ab,H,n,C3,a,f,a_f
TRTE,Zygophyllaceae,Tribulus,terrestris,,punturevine,C4,a,H,n,C4,a,f,a_f
TYDO,Typhaceae,Typha,domingensis,,southern cattail,,p,H,n,NA,p,f,p_f
TYLA,Typhaceae,Typha,latifolia,,broadleaf cattail,,p,H,n,NA,p,f,p_f
XASP2,Asteraceae,Xanthium,spinosum,,spiny cocklebur,C3,a,H,n,C3,a,f,a_f
ABFR2,Nyctaginaceae,Abronia,fragrans,,snowball sand verbena,,p,H,y,C3,p,f,p_f
ACGL,Aceraceae,Acer,glabrum,,Rocky Mountain maple,,p,S/T,y,C3,p,t,p_t
ACHY,Poaceae,Achnatherum,hymenoides,,Indian ricegrass ,C3,p,G,y,C3,p,g,p_g
ACNA2,Asteraceae,Acourtia,nana,,dwarf desertpeony,C3,p,H,y,C3,p,f,p_f
ACNE,Euphorbiaceae,Acalypha,neomexicana,,New Mexico copperleaf,,a,H,y,C3,a,f,a_f
ACNE2,Aceraceae,Acer,negundo,,boxelder,,p,T,y,C3,p,t,p_t
ACNEI2,Aceraceae,Acer,negundo,var. interius,boxelder,,p,T ,y,C3,p,t,p_t
AGHE5,Asteraceae,Ageratina ,herbacea,,fragrant snakeroot,,p,ss/H,y,C3,p,f,p_f
ALCE2,Liliaceae,Allium,cernuum,,nodding onion,,p,H,y,C3,p,f,p_f
ALFI3,Apiaceae,Aletes,filifolius,,Trans-Pecos Indian parsley,,p,ss/H,y,C3,p,f,p_f
ALGE,Liliaceae,Allium,geyeri,,Geyer's onion,,p,H,y,C3,p,f,p_f
ALIN,Nyctaginaceae,Allionia,incarnata,,trailing windmills,C4,ap,H,y,C4,p,f,p_f
ALMA4,Liliaceae,Allium,macropetalum,,largeflower wild onion,C3,p,H,y,C3,p,f,p_f
ALOC2,Chenopodiaceae,Allenrolfea,occidentalis,,iodinebush,C3,p,S/ss/su,y,C3,p,s,p_s
ALPA14,Asteraceae,Almutaster,pauciflorus,,alkali marsh aster,C3,p,H,y,C3,p,f,p_f
ALWR,Verbenaceae,Aloysia,wrightii,,Wright's beebrush,C3,p,S,y,C3,p,s,p_s
AMAC2,Asteraceae,Ambrosia,acanthicarpa,,flatspine bur ragweed,,a,H,y,C3,a,f,a_f
AMAL,Amaranthaceae,Amaranthus,albus,,prostrate pigweed,C4,a,H,y,C4,a,f,a_f
AMAR2,Asteraceae,Ambrosia,artemisiifolia,,annual ragweed,,a,H,y,C3,a,f,a_f
AMCH3,Nyctaginaceae,Ammocodon,chenopodioides,,goosefoot moonpod,C3,p,H,y,C3,p,f,p_f
AMCO3,Asteraceae,Ambrosia,confertiflora,,weakleaf bur ragweed,,p,H,y,C3,p,f,p_f
AMFU,Apocynaceae,Amsonia,fugatei,,San Antonio bluestar,,p,H,y,C3,p,f,p_f
