kartez,family,genus,taxon,new.taxon
ACNE,Euphorbiaceae,Acalypha,Acalypha_neomexicana,Acalypha_neomexicana
ALIN,Nyctaginaceae,Allionia,Allionia_incarnata,Allionia_incarnata
AMPA,Amaranthaceae,Amaranthus,Amaranthus_palmeri,Amaranthus_palmeri
APRAH,Asteraceae,Aphanostephus,Aphanostephus_ramosissimus,Aphanostephus_ramosissimus
ARAD,Poaceae,Aristida,Aristida_adscensionis,Aristida_adscensionis
ARFEF,Brassicaceae,Arabis,Arabis_fendleri,Boechera_fendleri
ARPU9,Poaceae,Aristida,Aristida_purpurea,Aristida_purpurea
ASFE2,Fabaceae,Astragalus,Astragalus_missouriensis,Astragalus_missouriensis
ASNU4,Fabaceae,Astragalus,Astragalus_nuttallianus,Astragalus_nuttallianus
BAABA,Asteraceae,Bahia,Bahia_absinthifolia,Bahia_absinthifolia
BADI,Asteraceae,Bahia,Bahia_dissecta,Amauriopsis_dissecta
BELY,Asteraceae,Berlandiera,Berlandiera_lyrata,Berlandiera_lyrata
BOBA2,Poaceae,Bouteloua,Bouteloua_barbata,Chondrosum_barbatum
BOCU,Poaceae,Bouteloua,Bouteloua_curtipendula,Bouteloua_curtipendula
BOER4,Poaceae,Bouteloua,Bouteloua_eriopoda,Chondrosum_eriopoda
BOGR2,Poaceae,Bouteloua,Bouteloua_gracilis,Chondrosum_gracile
BOHI2,Poaceae,Bouteloua,Bouteloua_hirsuta,Chondrosum_hirsutum
BRCA3,Asteraceae,Brickellia,Brickellia_californica,Brickellia_californica
BREUC2,Asteraceae,Brickellia,Brickellia_eupatorioides,Brickellia_eupatorioides
CHAL11,Euphorbiaceae,Euphorbia,Euphorbia_albomarginata,Euphorbia_albomarginata
CHCHC3,Euphorbiaceae,Euphorbia,Euphorbia_chaetocalyx,Euphorbia_chaetocalyx
CHCO2,Solanaceae,Chamaesaracha,Chamaesaracha_coronopus,Chamaesaracha_coronopus
CHER2,Asteraceae,Chaetopappa,Chaetopappa_ericoides,Chaetopappa_ericoides
CHGR2,Chenopodiaceae,Chenopodium,Chenopodium_graveolens,Chenopodium_vulvaria
CHIN2,Chenopodiaceae,Chenopodium,Chenopodium_incanum,Chenopodium_incanum
